Target,Model,Feature_Set,N_Features,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std
HTN,LR,完整 (T1+T2+Δ),26,0.7208543792273756,0.016841236656806036,0.33695885672062326,0.013883163781242507
HTN,LR,無 Δ (T1+T2),18,0.7208568117158518,0.01683920949018073,0.3369696711243693,0.013886791180287785
HTN,LR,僅 T2+Δ,18,0.7208468783148236,0.016847054089769765,0.33696544591875205,0.013863590634893801
HTN,LR,僅 T2,10,0.698441553352567,0.01657697520210248,0.3257151922387791,0.011387241703477649
HTN,NB,完整 (T1+T2+Δ),26,0.708877790548055,0.02198732712294623,0.3126689204894106,0.02335070177125503
HTN,NB,無 Δ (T1+T2),18,0.7012406691359505,0.017210230212593627,0.3086774186799049,0.015871611327542043
HTN,NB,僅 T2+Δ,18,0.6899785866846779,0.0244905369325348,0.30403006043082864,0.025480942965949195
HTN,NB,僅 T2,10,0.6879518074330142,0.018345875011632734,0.3032969734098573,0.01631704816879232
HTN,LDA,完整 (T1+T2+Δ),26,0.7202344721160132,0.017110934050072666,0.338288913684537,0.013878147326906898
HTN,LDA,無 Δ (T1+T2),18,0.7202344721160132,0.017110934050072666,0.338288913684537,0.013878147326906898
HTN,LDA,僅 T2+Δ,18,0.7202344721160132,0.017110934050072666,0.338288913684537,0.013878147326906898
HTN,LDA,僅 T2,10,0.6983160554859389,0.01649693193583799,0.32628177513884815,0.010873891505580005
HTN,KNN,完整 (T1+T2+Δ),26,0.6296981920421043,0.017678559588239287,0.26004901432518635,0.01648991744269504
HTN,KNN,無 Δ (T1+T2),18,0.6329584855616583,0.017471935743740116,0.2602319289950173,0.009916583822321202
HTN,KNN,僅 T2+Δ,18,0.6049736673807085,0.014297841104862066,0.2481071183921441,0.009389795805203075
HTN,KNN,僅 T2,10,0.5987276701287176,0.012262370252618747,0.24250867714140076,0.006496194454690287
HTN,DT,完整 (T1+T2+Δ),26,0.7172234032080798,0.012801357722480726,0.3232072453718721,0.011122697841383245
HTN,DT,無 Δ (T1+T2),18,0.7172408003201739,0.012843286337885836,0.32159487573701107,0.011297992826383668
HTN,DT,僅 T2+Δ,18,0.7234748582475756,0.016623902309136247,0.3286908218311016,0.015028368798567091
HTN,DT,僅 T2,10,0.6864031548536031,0.01804518196615603,0.30582803071548714,0.011943869559633707
HTN,RF,完整 (T1+T2+Δ),26,0.734881378701377,0.011435451141480708,0.34631436072060734,0.00863525546404218
HTN,RF,無 Δ (T1+T2),18,0.7348037151044122,0.015248843288040489,0.34629290068347646,0.009134731076615842
HTN,RF,僅 T2+Δ,18,0.7325740656236335,0.014578316529620047,0.3414929548014328,0.017552990540290546
HTN,RF,僅 T2,10,0.6836262769351522,0.013295557848436288,0.3081087703144699,0.012484309563015012
HTN,XGB,完整 (T1+T2+Δ),26,0.7384984527162765,0.011919482187525764,0.35343897204437325,0.012331407206403733
HTN,XGB,無 Δ (T1+T2),18,0.7313251905712772,0.014494909900477049,0.3473479880672451,0.015167945959567395
HTN,XGB,僅 T2+Δ,18,0.7361972286151671,0.010742952990054636,0.3496888439745597,0.007637555729508239
HTN,XGB,僅 T2,10,0.6848160614678231,0.0158401459492117,0.3130572556550795,0.007648349098942163
HTN,LGBM,完整 (T1+T2+Δ),26,0.730391408253972,0.010922688470377275,0.3469430547665634,0.010421780807206188
HTN,LGBM,無 Δ (T1+T2),18,0.7284459192094642,0.012319961385337124,0.34729793848597046,0.009777193647925831
HTN,LGBM,僅 T2+Δ,18,0.73288324529404,0.009880194452062044,0.3469035527762888,0.009685846322513032
HTN,LGBM,僅 T2,10,0.6836818244603371,0.014180175352566502,0.31633316178411996,0.011864265157326751
HTN,SVM,完整 (T1+T2+Δ),26,0.7264385523182112,0.011263245312497158,0.3426349539715561,0.023449492372431498
HTN,SVM,無 Δ (T1+T2),18,0.722660485487592,0.013688798219367694,0.33677813990672534,0.023183138741783814
HTN,SVM,僅 T2+Δ,18,0.7235987190081703,0.010885872195918129,0.3403538083414276,0.01823272123671463
