maxsize,AUC,公式
10,0.7136530732281148,0.22708337*SBP_T1 + 0.4387607
25,0.5,0.499997000000000
40,0.7111533183021272,Abs(0.24594943*SBP_T1 + 0.426715030136758)
60,0.5,0.499997000000000
